name,artist,year,genre
Tangled Up,Thomas Rhett,2015,Country
Obsessed,Dan + Shay,2016,Country
Dig Your Roots,Florida Georgia Line,2016,Country
This One's For You,Luke Combs,2017,Country
HERO,Maren Morris,2017,Country
California Sunrise,Jon Pardi,2016,Country
Illinois,Brett Eldredge,2015,Country
Ryan Hurd - EP,Ryan Hurd,2017,Country
Grateful,DJ Khaled,2017,Rap
Back from the Edge,James Arthur,2016,Contemporary R&B
Made in the A.M.,One Direction,2015,Pop Rock
Montevallo,Sam Hunt,2014,Pop 
More Life,Drake,2017,Hip Hop
Divide,Ed Sheeran,2017,Pop
She's So Unusual,Cyndi Lauper,1983,Pop
Let It Be,The Beatles,1970,Rock
